,media_list,positive,negative,compound,date_created,tweets_ago
41,CBS,0.173,0.0,0.5826,2018-08-05 23:16:25+00:00,-41
42,CBS,0.0,0.202,-0.5093,2018-08-05 23:12:39+00:00,-42
43,CBS,0.0,0.0,0.0,2018-08-05 23:10:20+00:00,-43
44,CBS,0.225,0.0,0.6041,2018-08-05 23:05:58+00:00,-44
45,CBS,0.147,0.0,0.3802,2018-08-05 23:01:25+00:00,-45
46,CBS,0.0,0.083,-0.2057,2018-08-05 22:58:41+00:00,-46
47,CBS,0.0,0.0,0.0,2018-08-05 22:58:36+00:00,-47
48,CBS,0.0,0.064,-0.0572,2018-08-05 22:53:12+00:00,-48
49,CBS,0.059,0.121,-0.3612,2018-08-05 22:52:24+00:00,-49
50,CBS,0.138,0.0,0.4939,2018-08-05 22:49:06+00:00,-50
51,CBS,0.0,0.0,0.0,2018-08-05 22:46:49+00:00,-51
52,CBS,0.175,0.0,0.4926,2018-08-05 22:32:37+00:00,-52
53,CBS,0.123,0.0,0.2732,2018-08-05 22:32:30+00:00,-53
54,CBS,0.095,0.0,0.2716,2018-08-05 22:16:36+00:00,-54
55,CBS,0.0,0.133,-0.4973,2018-08-05 22:16:29+00:00,-55
56,CBS,0.0,0.0,0.0,2018-08-05 22:16:19+00:00,-56
57,CBS,0.0,0.114,-0.4019,2018-08-05 22:05:44+00:00,-57
58,CBS,0.0,0.207,-0.6908,2018-08-05 22:00:47+00:00,-58
59,CBS,0.0,0.0,0.0,2018-08-05 21:48:41+00:00,-59
60,CBS,0.286,0.0,0.8555,2018-08-05 21:48:36+00:00,-60
61,CBS,0.234,0.0,0.5994,2018-08-05 21:48:29+00:00,-61
62,CBS,0.208,0.0,0.6124,2018-08-05 21:31:15+00:00,-62
63,CBS,0.105,0.153,-0.2748,2018-08-05 20:58:52+00:00,-63
64,CBS,0.0,0.0,0.0,2018-08-05 20:56:17+00:00,-64
65,CBS,0.0,0.125,-0.4588,2018-08-05 20:10:33+00:00,-65
66,CBS,0.0,0.0,0.0,2018-08-05 19:43:38+00:00,-66
67,CBS,0.0,0.0,0.0,2018-08-05 19:22:22+00:00,-67
68,CBS,0.204,0.0,0.6249,2018-08-05 19:21:28+00:00,-68
69,CBS,0.098,0.079,0.1384,2018-08-05 19:16:45+00:00,-69
70,CBS,0.0,0.0,0.0,2018-08-05 19:15:53+00:00,-70
71,CBS,0.182,0.0,0.4588,2018-08-05 18:54:24+00:00,-71
72,CBS,0.0,0.0,0.0,2018-08-05 18:01:09+00:00,-72
73,CBS,0.0,0.0,0.0,2018-08-05 17:55:07+00:00,-73
74,CBS,0.0,0.0,0.0,2018-08-05 17:51:13+00:00,-74
75,CBS,0.0,0.0,0.0,2018-08-05 17:47:01+00:00,-75
76,CBS,0.073,0.074,-0.0018,2018-08-05 17:39:48+00:00,-76
77,CBS,0.0,0.0,0.0,2018-08-05 17:28:37+00:00,-77
78,CBS,0.182,0.219,-0.0602,2018-08-05 17:28:03+00:00,-78
79,CBS,0.16,0.105,0.1761,2018-08-05 17:27:46+00:00,-79
80,CBS,0.123,0.11,0.1027,2018-08-05 17:27:41+00:00,-80
81,CBS,0.13,0.123,0.0498,2018-08-05 17:27:31+00:00,-81
82,CBS,0.182,0.0,0.6114,2018-08-05 14:47:12+00:00,-82
83,CBS,0.083,0.0,0.2263,2018-08-04 22:57:37+00:00,-83
84,CBS,0.0,0.0,0.0,2018-08-04 00:24:55+00:00,-84
85,CBS,0.24,0.0,0.6124,2018-08-03 22:34:08+00:00,-85
86,CBS,0.469,0.0,0.9098,2018-07-31 21:02:33+00:00,-86
87,CBS,0.124,0.0,0.34,2018-07-28 16:43:56+00:00,-87
88,CBS,0.187,0.0,0.5707,2018-07-25 17:25:36+00:00,-88
89,CBS,0.0,0.0,0.0,2018-07-25 15:12:31+00:00,-89
90,CBS,0.118,0.0,0.34,2018-07-25 01:05:03+00:00,-90
91,CBS,0.068,0.099,-0.1511,2018-07-24 18:54:14+00:00,-91
92,CBS,0.34,0.0,0.8293,2018-07-23 21:30:33+00:00,-92
93,CBS,0.073,0.0,0.128,2018-07-22 01:56:13+00:00,-93
94,CBS,0.0,0.109,-0.296,2018-07-21 00:55:28+00:00,-94
95,CBS,0.0,0.109,-0.296,2018-07-21 00:19:12+00:00,-95
96,CBS,0.0,0.264,-0.7964,2018-07-21 00:10:00+00:00,-96
97,CBS,0.0,0.18,-0.6597,2018-07-20 23:44:54+00:00,-97
98,CBS,0.095,0.0,0.3182,2018-07-20 22:29:36+00:00,-98
99,CBS,0.0,0.0,0.0,2018-07-20 21:39:09+00:00,-99
0,CNN,0.0,0.25,-0.6124,2018-09-08 16:15:08+00:00,0
1,CNN,0.14,0.135,0.0258,2018-09-08 16:00:05+00:00,-1
2,CNN,0.104,0.267,-0.6597,2018-09-08 15:45:00+00:00,-2
3,CNN,0.155,0.165,-0.0516,2018-09-08 15:30:08+00:00,-3
4,CNN,0.385,0.0,0.8176,2018-09-08 15:15:06+00:00,-4
5,CNN,0.153,0.153,0.0,2018-09-08 15:00:02+00:00,-5
6,CNN,0.0,0.369,-0.8225,2018-09-08 14:45:05+00:00,-6
7,CNN,0.0,0.0,0.0,2018-09-08 14:30:10+00:00,-7
8,CNN,0.0,0.0,0.0,2018-09-08 14:23:07+00:00,-8
9,CNN,0.0,0.14,-0.4767,2018-09-08 14:01:00+00:00,-9
10,CNN,0.0,0.109,-0.296,2018-09-08 14:00:09+00:00,-10
11,CNN,0.121,0.167,-0.3182,2018-09-08 13:41:05+00:00,-11
12,CNN,0.092,0.332,-0.7959,2018-09-08 13:30:00+00:00,-12
13,CNN,0.13,0.0,0.34,2018-09-08 13:16:03+00:00,-13
14,CNN,0.122,0.0,0.3612,2018-09-08 13:01:08+00:00,-14
15,CNN,0.141,0.0,0.4215,2018-09-08 12:46:05+00:00,-15
16,CNN,0.0,0.062,-0.1027,2018-09-08 12:30:00+00:00,-16
17,CNN,0.256,0.0,0.6697,2018-09-08 12:16:05+00:00,-17
18,CNN,0.228,0.0,0.7096,2018-09-08 12:01:00+00:00,-18
19,CNN,0.0,0.0,0.0,2018-09-08 11:46:03+00:00,-19
20,CNN,0.167,0.0,0.34,2018-09-08 11:01:05+00:00,-20
21,CNN,0.27,0.13,0.4939,2018-09-08 11:00:00+00:00,-21
22,CNN,0.135,0.127,0.0516,2018-09-08 10:31:00+00:00,-22
23,CNN,0.0,0.0,0.0,2018-09-08 10:01:02+00:00,-23
24,CNN,0.097,0.086,0.0772,2018-09-08 09:31:00+00:00,-24
25,CNN,0.0,0.0,0.0,2018-09-08 09:01:06+00:00,-25
26,CNN,0.0,0.0,0.0,2018-09-08 08:46:04+00:00,-26
27,CNN,0.0,0.0,0.0,2018-09-08 08:31:00+00:00,-27
28,CNN,0.167,0.0,0.5859,2018-09-08 08:16:04+00:00,-28
29,CNN,0.0,0.28,-0.5423,2018-09-08 08:01:04+00:00,-29
30,CNN,0.135,0.121,0.0772,2018-09-08 07:46:02+00:00,-30
31,CNN,0.176,0.0,0.4939,2018-09-08 07:31:00+00:00,-31
32,CNN,0.301,0.0,0.6808,2018-09-08 07:16:03+00:00,-32
33,CNN,0.099,0.146,-0.25,2018-09-08 07:01:03+00:00,-33
34,CNN,0.225,0.0,0.4939,2018-09-08 06:46:06+00:00,-34
35,CNN,0.0,0.328,-0.5994,2018-09-08 06:31:00+00:00,-35
36,CNN,0.0,0.0,0.0,2018-09-08 06:16:06+00:00,-36
37,CNN,0.201,0.092,0.4767,2018-09-08 06:01:03+00:00,-37
38,CNN,0.291,0.0,0.7506,2018-09-08 05:51:16+00:00,-38
39,CNN,0.114,0.0,0.4019,2018-09-08 05:46:06+00:00,-39
40,CNN,0.0,0.052,-0.0516,2018-09-08 05:32:57+00:00,-40
41,CNN,0.0,0.0,0.0,2018-09-08 05:31:00+00:00,-41
42,CNN,0.0,0.106,-0.2263,2018-09-08 05:16:02+00:00,-42
43,CNN,0.0,0.0,0.0,2018-09-08 05:01:05+00:00,-43
44,CNN,0.0,0.0,0.0,2018-09-08 04:51:02+00:00,-44
45,CNN,0.0,0.0,0.0,2018-09-08 04:46:01+00:00,-45
46,CNN,0.197,0.0,0.4019,2018-09-08 04:31:00+00:00,-46
47,CNN,0.0,0.0,0.0,2018-09-08 04:16:04+00:00,-47
48,CNN,0.0,0.275,-0.6486,2018-09-08 04:01:02+00:00,-48
49,CNN,0.0,0.0,0.0,2018-09-08 03:46:06+00:00,-49
50,CNN,0.0,0.0,0.0,2018-09-08 03:39:22+00:00,-50
51,CNN,0.0,0.146,-0.34,2018-09-08 03:36:52+00:00,-51
52,CNN,0.0,0.255,-0.7579,2018-09-08 03:31:04+00:00,-52
53,CNN,0.228,0.0,0.7096,2018-09-08 03:17:11+00:00,-53
54,CNN,0.0,0.098,-0.1877,2018-09-08 03:15:40+00:00,-54
55,CNN,0.0,0.145,-0.5499,2018-09-08 03:09:35+00:00,-55
56,CNN,0.0,0.14,-0.4767,2018-09-08 03:01:00+00:00,-56
57,CNN,0.208,0.0,0.6124,2018-09-08 02:58:19+00:00,-57
58,CNN,0.293,0.0,0.8519,2018-09-08 02:46:37+00:00,-58
59,CNN,0.157,0.061,0.4939,2018-09-08 02:46:27+00:00,-59
60,CNN,0.0,0.138,-0.34,2018-09-08 02:46:00+00:00,-60
61,CNN,0.0,0.138,-0.4939,2018-09-08 02:31:00+00:00,-61
62,CNN,0.0,0.093,-0.1877,2018-09-08 02:16:00+00:00,-62
63,CNN,0.0,0.112,-0.3412,2018-09-08 02:01:00+00:00,-63
64,CNN,0.0,0.157,-0.6249,2018-09-08 01:56:51+00:00,-64
65,CNN,0.223,0.0,0.5574,2018-09-08 01:51:04+00:00,-65
66,CNN,0.134,0.0,0.4466,2018-09-08 01:51:00+00:00,-66
67,CNN,0.0,0.127,-0.4404,2018-09-08 01:47:52+00:00,-67
68,CNN,0.112,0.0,0.4404,2018-09-08 01:47:43+00:00,-68
69,CNN,0.116,0.0,0.3612,2018-09-08 01:41:00+00:00,-69
70,CNN,0.145,0.15,-0.0258,2018-09-08 01:31:08+00:00,-70
71,CNN,0.058,0.0,0.0258,2018-09-08 01:28:00+00:00,-71
72,CNN,0.0,0.062,-0.1027,2018-09-08 01:26:00+00:00,-72
73,CNN,0.538,0.0,0.8885,2018-09-08 01:23:00+00:00,-73
74,CNN,0.0,0.146,-0.4404,2018-09-08 01:21:11+00:00,-74
75,CNN,0.11,0.199,-0.296,2018-09-08 01:14:42+00:00,-75
76,CNN,0.0,0.177,-0.4215,2018-09-08 01:10:04+00:00,-76
77,CNN,0.0,0.338,-0.6808,2018-09-08 01:01:04+00:00,-77
78,CNN,0.086,0.124,-0.25,2018-09-08 00:56:03+00:00,-78
79,CNN,0.0,0.0,0.0,2018-09-08 00:50:31+00:00,-79
80,CNN,0.0,0.191,-0.3818,2018-09-08 00:41:05+00:00,-80
81,CNN,0.112,0.124,-0.0772,2018-09-08 00:35:50+00:00,-81
82,CNN,0.0,0.0,0.0,2018-09-08 00:31:11+00:00,-82
83,CNN,0.0,0.1,-0.25,2018-09-08 00:29:08+00:00,-83
84,CNN,0.134,0.0,0.5267,2018-09-08 00:25:44+00:00,-84
85,CNN,0.162,0.068,0.4939,2018-09-08 00:21:06+00:00,-85
86,CNN,0.0,0.0,0.0,2018-09-08 00:12:58+00:00,-86
87,CNN,0.0,0.0,0.0,2018-09-08 00:11:03+00:00,-87
88,CNN,0.0,0.106,-0.2263,2018-09-08 00:01:07+00:00,-88
89,CNN,0.259,0.0,0.6369,2018-09-07 23:51:06+00:00,-89
90,CNN,0.051,0.327,-0.7964,2018-09-07 23:43:55+00:00,-90
91,CNN,0.0,0.0,0.0,2018-09-07 23:41:05+00:00,-91
92,CNN,0.0,0.0,0.0,2018-09-07 23:34:50+00:00,-92
93,CNN,0.0,0.0,0.0,2018-09-07 23:31:06+00:00,-93
94,CNN,0.0,0.0,0.0,2018-09-07 23:26:04+00:00,-94
95,CNN,0.0,0.096,-0.2023,2018-09-07 23:21:08+00:00,-95
96,CNN,0.242,0.0,0.7717,2018-09-07 23:20:05+00:00,-96
97,CNN,0.0,0.275,-0.6486,2018-09-07 23:16:10+00:00,-97
98,CNN,0.062,0.268,-0.6486,2018-09-07 23:11:05+00:00,-98
99,CNN,0.11,0.0,0.2732,2018-09-07 23:01:07+00:00,-99
0,FoxNews,0.283,0.0,0.743,2018-09-08 16:18:10+00:00,0
1,FoxNews,0.312,0.0,0.8271,2018-09-08 16:11:47+00:00,-1
2,FoxNews,0.0,0.0,0.0,2018-09-08 15:58:50+00:00,-2
3,FoxNews,0.0,0.0,0.0,2018-09-08 15:45:27+00:00,-3
4,FoxNews,0.0,0.286,-0.5267,2018-09-08 15:41:06+00:00,-4
5,FoxNews,0.0,0.0,0.0,2018-09-08 15:41:00+00:00,-5
6,FoxNews,0.0,0.0,0.0,2018-09-08 15:31:00+00:00,-6
7,FoxNews,0.0,0.0,0.0,2018-09-08 15:26:21+00:00,-7
8,FoxNews,0.0,0.194,-0.34,2018-09-08 15:20:29+00:00,-8
9,FoxNews,0.181,0.121,0.0946,2018-09-08 15:19:00+00:00,-9
10,FoxNews,0.0,0.095,-0.2732,2018-09-08 15:12:36+00:00,-10
11,FoxNews,0.0,0.203,-0.4215,2018-09-08 14:55:13+00:00,-11
12,FoxNews,0.148,0.164,-0.0772,2018-09-08 14:43:16+00:00,-12
13,FoxNews,0.145,0.112,0.2023,2018-09-08 14:35:19+00:00,-13
14,FoxNews,0.0,0.25,-0.7184,2018-09-08 14:24:27+00:00,-14
15,FoxNews,0.0,0.0,0.0,2018-09-08 14:10:09+00:00,-15
16,FoxNews,0.0,0.0,0.0,2018-09-08 13:57:30+00:00,-16
17,FoxNews,0.0,0.0,0.0,2018-09-08 13:45:54+00:00,-17
18,FoxNews,0.383,0.0,0.8074,2018-09-08 13:33:13+00:00,-18
19,FoxNews,0.0,0.0,0.0,2018-09-08 13:31:29+00:00,-19
20,FoxNews,0.0,0.0,0.0,2018-09-08 13:20:25+00:00,-20
21,FoxNews,0.349,0.0,0.8807,2018-09-08 12:58:00+00:00,-21
22,FoxNews,0.141,0.0,0.3875,2018-09-08 12:54:26+00:00,-22
23,FoxNews,0.146,0.124,0.1027,2018-09-08 12:46:00+00:00,-23
24,FoxNews,0.0,0.146,-0.4404,2018-09-08 12:41:21+00:00,-24
25,FoxNews,0.0,0.47,-0.7964,2018-09-08 12:37:14+00:00,-25
26,FoxNews,0.0,0.149,-0.2732,2018-09-08 12:32:58+00:00,-26
27,FoxNews,0.0,0.0,0.0,2018-09-08 12:26:37+00:00,-27
28,FoxNews,0.0,0.0,0.0,2018-09-08 12:15:12+00:00,-28
29,FoxNews,0.0,0.351,-0.7579,2018-09-08 12:14:45+00:00,-29
30,FoxNews,0.32,0.23,0.1531,2018-09-08 12:06:28+00:00,-30
31,FoxNews,0.0,0.095,-0.2244,2018-09-08 11:55:00+00:00,-31
32,FoxNews,0.098,0.107,-0.0516,2018-09-08 11:49:01+00:00,-32
33,FoxNews,0.0,0.0,0.0,2018-09-08 11:32:02+00:00,-33
34,FoxNews,0.157,0.0,0.3818,2018-09-08 11:27:16+00:00,-34
35,FoxNews,0.0,0.0,0.0,2018-09-08 11:24:44+00:00,-35
36,FoxNews,0.116,0.249,-0.5106,2018-09-08 11:16:32+00:00,-36
37,FoxNews,0.0,0.156,-0.34,2018-09-08 11:08:47+00:00,-37
38,FoxNews,0.0,0.495,-0.5994,2018-09-08 11:08:34+00:00,-38
39,FoxNews,0.0,0.0,0.0,2018-09-08 10:52:40+00:00,-39
40,FoxNews,0.0,0.0,0.0,2018-09-08 10:40:13+00:00,-40
41,FoxNews,0.0,0.0,0.0,2018-09-08 10:27:58+00:00,-41
42,FoxNews,0.0,0.191,-0.3818,2018-09-08 10:22:36+00:00,-42
43,FoxNews,0.162,0.0,0.4404,2018-09-08 10:19:07+00:00,-43
44,FoxNews,0.0,0.156,-0.4168,2018-09-08 10:05:00+00:00,-44
45,FoxNews,0.0,0.343,-0.7783,2018-09-08 09:42:00+00:00,-45
46,FoxNews,0.0,0.085,-0.1027,2018-09-08 09:20:00+00:00,-46
47,FoxNews,0.0,0.0,0.0,2018-09-08 09:01:00+00:00,-47
48,FoxNews,0.092,0.172,-0.3182,2018-09-08 08:33:00+00:00,-48
49,FoxNews,0.0,0.087,-0.2263,2018-09-08 08:21:00+00:00,-49
50,FoxNews,0.0,0.217,-0.3612,2018-09-08 08:00:00+00:00,-50
51,FoxNews,0.0,0.213,-0.5574,2018-09-08 07:51:00+00:00,-51
52,FoxNews,0.0,0.0,0.0,2018-09-08 07:20:00+00:00,-52
53,FoxNews,0.096,0.311,-0.6908,2018-09-08 07:08:00+00:00,-53
